SUBJECTID RunNumber
PA069 RUN1
PA070 RUN2
PA074 RUN1
PA088 RUN2
PA089 RUN2
PA091 RUN1
PA103 RUN1
PA103 RUN2
PA119 RUN1
PA132 RUN1
PA138 RUN2
PA141 RUN1
PA142 RUN2
PA154 RUN2
PA157 RUN2
PA160 RUN1
PA165 RUN2
PA169 RUN1
PA174 RUN1
PA179 RUN2
PA180 RUN1
PA180 RUN2
PA187 RUN1
PA187 RUN2
PA190 RUN1
PA190 RUN2
PA194 RUN1
PA194 RUN2
PA202 RUN1
PA203 RUN2
PA214 RUN2
PA220 RUN1
PA226 RUN1
PA230 RUN1
PA230 RUN2
PA238 RUN2
PA249 RUN1
PA250 RUN2
PA260 RUN1
PA265 RUN1
