"dimBoot1","dimBoot2","dimBoot3","GROUP","Sex","IDENT_SUBID"
0.0241505494950375,1.79687070305992,0.343340622586295,"PI","male","PA006_V1"
-2.21317477996509,-0.878414662333073,-0.269874329058708,"C","male","PA025_V1"
-2.2196579436027,-0.898938922818625,-0.290867942928017,"C","male","PA040_V1"
-2.22023074372844,-0.900129517284846,-0.268059503137094,"C","female","PA042_V1"
-1.30970947497698,-0.423897607555365,0.11409362639978,"DC","male","PA043_V1"
-2.21543137136398,-0.914771253630238,-0.255018870576629,"C","female","PA044_V1"
-2.2173864893317,-0.934570667839021,-0.245232314685259,"C","male","PA046_V1"
0.55072197308059,-2.46731373928447,0.868922724697615,"C","male","PA049_V1"
1.01184657534051,-2.43633293968814,0.873209092927246,"C","female","PA050_V1"
0.558304600423415,1.56930308496028,0.160984584106243,"DA","male","PA052_V1"
-2.20640837597794,-0.903372184729941,-0.287161361759271,"C","male","PA062_V1"
-2.21878644314716,-0.89184573004481,-0.233604954477138,"C","male","PA065_V1"
-1.78390888272296,-0.674185834009428,-0.157854198646947,"C","female","PA067_V1"
-0.784079250757132,1.14094321152533,0.246193637844802,"PI","female","PA068_V1"
-1.76668103852709,-0.191169370641487,-0.119470777678388,"DA","male","PA069_V1"
-2.20879666305965,-0.905464498323463,-0.274330712042379,"C","male","PA070_V1"
-1.16032133045309,-0.484582915660149,-0.430176839842794,"DC","female","PA072_V1"
1.31424590371199,0.463815191526421,0.609491140439295,"DA","male","PA073_V1"
-1.32923827511825,-1.51288329364953,0.073750053899938,"C","male","PA075_V1"
-1.22575649489005,0.207457535458696,-0.0246583759248775,"DA","male","PA077_V1"
4.30740100391408,1.06656636375144,-0.158541732985613,"DA","male","PA079_V1"
1.60601154558375,0.902035096240654,0.0671092061188276,"DC","female","PA083_V1"
2.58803652797743,-0.148825873021197,1.04990661976469,"DC","female","PA084_V1"
-0.7469644412912,0.215082884675545,0.0433959731873039,"DC","male","PA085_V1"
0.00846946037985142,0.14238746683611,0.305289011384359,"IFC","female","PA086_V1"
-1.76709921042586,-0.19173982773384,-0.121665445472368,"DA","male","PA087_V1"
3.82239918659536,1.88490670092882,-0.359711856614189,"DA","female","PA088_V1"
5.96703951860608,0.562673421732757,0.05996738863217,"DA","male","PA089_V1"
-0.385155696571009,0.883531082110666,0.38218955913951,"PI","female","PA090_V1"
0.0618038506795985,1.09467845475576,0.250220001624572,"PI","female","PA091_V1"
-0.787280989557442,0.71532130649897,0.000705224138395649,"DA","male","PA092_V1"
-2.2107595472663,-0.887342677724772,-0.261090930086511,"C","female","PA094_V1"
-2.2157732786418,-0.88348921797396,-0.279133489443837,"C","female","PA095_V1"
-1.15872208780963,-1.57106375664239,-0.0675130883906068,"C","female","PA096_V1"
1.03997289314567,-0.692129927792283,0.767611510094848,"DC","male","PA097_V1"
-2.20366430483895,-0.919439292069054,-0.279589086214666,"C","male","PA099_V1"
-1.76863532846266,-0.185604526243278,-0.113409966973472,"DA","male","PA101_V1"
-1.86013636759802,-1.44254594783614,-0.011292072707263,"DC","male","PA103_V1"
1.19601051231662,0.297820631240637,-0.135235910887273,"DC","female","PA104_V1"
-0.687018947152726,0.808957454475814,-0.00138156616802942,"DA","female","PA109_V1"
-1.05855309752728,-0.697108927968026,-0.33604024949832,"C","male","PA110_V1"
4.24359031093832,0.420531891249004,0.458823221467016,"DA","female","PA117_V1"
0.104792178771783,0.796177296045309,0.348534464639957,"DA","male","PA118_V1"
1.31644626981823,0.710354735439182,-0.303807132266138,"DA","female","PA122_V1"
3.45236174347509,0.345759439383216,0.322310243598529,"DA","male","PA123_V1"
-1.38248348206121,0.701410034381463,0.0750352999830546,"PI","male","PA124_V1"
0.250183652842737,2.05279010753037,0.281989392752123,"PI","female","PA125_V1"
-2.22085546044183,-0.85326110764053,-0.282632607968566,"C","female","PA126_V1"
-1.01650457927322,1.0804947242202,0.19445168503277,"DA","female","PA127_V1"
-0.169791719015731,-0.635470675632408,0.0917825896143864,"DA","male","PA128_V1"
-1.13223404355911,-0.143559545807235,-0.0789835377456363,"DC","male","PA129_V1"
-1.15964490010085,-1.35875195000571,-0.130423869730805,"C","male","PA130_V1"
-1.79404731151983,-0.650638689445462,-0.176927531780165,"C","female","PA132_V1"
-2.21747083244327,-0.869007951869104,-0.280718332263424,"C","male","PA133_V1"
-0.582653491121741,1.26036636625133,0.331591611219486,"PI","male","PA134_V1"
-2.21548731923571,-0.91684445899119,-0.278487768826923,"C","female","PA135_V1"
-1.13793183117571,-0.141539576293886,-0.0760620108427963,"DC","male","PA136_V1"
0.148839574761822,-0.451894774882452,0.00672047063127431,"DA","male","PA137_V1"
6.62613141869409,0.2939929002381,-2.61113839145653,"DA","female","PA138_V1"
6.31109529225879,-0.473282910283679,-3.00108717249244,"DA","male","PA139_V1"
-1.22816051207774,0.202751533689048,-0.0342405317617471,"IFC","male","PA140_V1"
-2.21799618839921,-0.897994253197887,-0.262535092473762,"C","male","PA141_V1"
-0.704520748914086,1.16311657719127,0.24494156477765,"PI","female","PA142_V1"
-0.999840896806471,0.949615995338814,0.211228956467919,"PI","female","PA143_V1"
2.89335443780867,1.68058871188031,-0.0548386212233608,"DA","male","PA144_V1"
-1.00843732332247,1.0290404060409,0.190516603956216,"PI","male","PA146_V1"
-1.88126304957651,-0.289082226680785,-0.108462654889895,"DC","female","PA148_V1"
-2.22039003182393,-0.884068037502254,-0.242415555607347,"C","female","PA149_V1"
-0.841411921293712,1.08401567012031,0.158179009757116,"PI","female","PA150_V1"
