"","N","mean_age","sd_age","min_age","max_age","N_female","N_male","mean_IQ","sd_IQ","mean_fam_inc_needs","sd_fam_inc_needs","perc_below_poverty"
"Behavior",78,9.63,2.07,6.02,12.8,35.02,42.98,102.68,16.5,2.72,2.92,0.282051282051282
"Scanning",54,10.23,1.92,6.2,12.8,24.02,29.98,105.58,13.77,2.99,2.76,0
