"SUBJECTID" "Run_number"
"326" "PA264" "RUN1"
"327" "PA264" "RUN2"
"328" "PA265" "RUN1"
"329" "PA265" "RUN2"
"330" "PA266" "RUN1"
"331" "PA266" "RUN2"
"332" "PA268" "RUN1"
"333" "PA268" "RUN2"
"334" "PA279" "RUN1"
"335" "PA279" "RUN2"
