"SUBJECTID" "Run_number"
"213" "PA194" "RUN2"
"214" "PA195" "RUN1"
"215" "PA195" "RUN2"
"216" "PA196" "RUN1"
"217" "PA196" "RUN2"
"218" "PA197" "RUN2"
"219" "PA198" "RUN1"
"220" "PA198" "RUN2"
"221" "PA199" "RUN1"
"222" "PA199" "RUN2"
"223" "PA201" "RUN2"
"224" "PA202" "RUN1"
"225" "PA202" "RUN2"
"226" "PA203" "RUN1"
"227" "PA203" "RUN2"
"228" "PA204" "RUN1"
"229" "PA204" "RUN2"
"230" "PA205" "RUN1"
"231" "PA205" "RUN2"
"232" "PA207" "RUN1"
"233" "PA207" "RUN2"
"234" "PA208" "RUN1"
"235" "PA208" "RUN2"
"236" "PA209" "RUN1"
"237" "PA209" "RUN2"
"238" "PA210" "RUN1"
"239" "PA210" "RUN2"
"240" "PA211" "RUN1"
"241" "PA211" "RUN2"
"242" "PA212" "RUN1"
"243" "PA212" "RUN2"
"244" "PA213" "RUN1"
"245" "PA213" "RUN2"
"246" "PA214" "RUN1"
"247" "PA214" "RUN2"
"248" "PA215" "RUN1"
"249" "PA215" "RUN2"
"250" "PA220" "RUN1"
"251" "PA220" "RUN2"
"252" "PA222" "RUN1"
"253" "PA222" "RUN2"
"254" "PA223" "RUN1"
"255" "PA223" "RUN2"
"256" "PA225" "RUN1"
"257" "PA225" "RUN2"
"258" "PA226" "RUN1"
"259" "PA226" "RUN2"
"260" "PA228" "RUN1"
"261" "PA228" "RUN2"
"262" "PA229" "RUN1"
"263" "PA229" "RUN2"
"264" "PA230" "RUN1"
"265" "PA230" "RUN2"
"266" "PA231" "RUN1"
"267" "PA231" "RUN2"
"268" "PA233" "RUN1"
"269" "PA233" "RUN2"
"270" "PA234" "RUN1"
"271" "PA234" "RUN2"
"272" "PA235" "RUN1"
"273" "PA235" "RUN2"
"274" "PA237" "RUN1"
"275" "PA237" "RUN2"
"276" "PA238" "RUN1"
"277" "PA238" "RUN2"
"278" "PA239" "RUN1"
"279" "PA239" "RUN2"
"280" "PA240" "RUN1"
"281" "PA240" "RUN2"
"282" "PA241" "RUN1"
"283" "PA241" "RUN2"
"284" "PA243" "RUN1"
"285" "PA243" "RUN2"
"286" "PA244" "RUN1"
"287" "PA244" "RUN2"
"288" "PA248" "RUN1"
"289" "PA248" "RUN2"
"290" "PA249" "RUN1"
"291" "PA249" "RUN2"
"292" "PA250" "RUN1"
"293" "PA250" "RUN2"
"294" "PA251" "RUN1"
"295" "PA251" "RUN2"
"296" "PA252" "RUN1"
"297" "PA252" "RUN2"
"298" "PA253" "RUN1"
"299" "PA254" "RUN1"
"300" "PA254" "RUN2"
"301" "PA255" "RUN1"
"302" "PA255" "RUN2"
"303" "PA256" "RUN1"
"304" "PA256" "RUN2"
"305" "PA259" "RUN1"
"306" "PA259" "RUN2"
"307" "PA260" "RUN1"
"308" "PA260" "RUN2"
"309" "PA264" "RUN1"
"310" "PA264" "RUN2"
"311" "PA265" "RUN1"
"312" "PA265" "RUN2"
"313" "PA266" "RUN1"
"314" "PA266" "RUN2"
"315" "PA268" "RUN1"
"316" "PA268" "RUN2"
"317" "PA279" "RUN1"
"318" "PA279" "RUN2"
