"dimBoot1","dimBoot2","dimBoot3","GROUP","Sex","IDENT_SUBID"
0.0107092781714153,1.82979040123521,0.283020023687125,"PI","male","PA006_V1"
-2.21977175949661,-0.923647570988033,-0.291667090964262,"C","male","PA025_V1"
-2.23334372349296,-0.831873126454229,-0.307307743081936,"C","male","PA040_V1"
-2.22037498189743,-0.93203717516644,-0.252823073077878,"C","female","PA042_V1"
-1.34098234629829,-0.400836550671602,0.117044404225272,"DC","male","PA043_V1"
-2.22324585658502,-0.932740155458227,-0.279901994974343,"C","female","PA044_V1"
-2.22296513200724,-0.897688915683772,-0.253509808429512,"C","male","PA046_V1"
0.551124111661277,-2.56967812871986,0.784469379666999,"C","male","PA049_V1"
0.998351695581828,-2.31520209335141,0.8755263189008,"C","female","PA050_V1"
0.528814940054128,1.55373492443895,0.216432883624087,"DA","male","PA052_V1"
-2.22294238040718,-0.875643098692021,-0.27426088672638,"C","male","PA062_V1"
-2.22020477068725,-0.866545116062178,-0.282578363064733,"C","male","PA065_V1"
-1.79088559869924,-0.666732109394735,-0.216875857511584,"C","female","PA067_V1"
-0.79092962381104,1.11667647147607,0.242398686153381,"PI","female","PA068_V1"
-1.77267598925713,-0.183341633239413,-0.113863986276642,"DA","male","PA069_V1"
-2.22810547097941,-0.917820525678569,-0.27057860022741,"C","male","PA070_V1"
-1.16841236558836,-0.496066008352545,-0.470545547876264,"DC","female","PA072_V1"
1.31853821025041,0.449825760856671,0.739355411046255,"DA","male","PA073_V1"
-1.32624752090757,-1.40619985966122,0.0327752382091686,"C","male","PA075_V1"
-1.2332548902662,0.197731222321565,-0.0465762340835332,"DA","male","PA077_V1"
4.31914938248209,1.03704017588979,-0.111335130824343,"DA","male","PA079_V1"
1.58558313504459,0.91980615273884,0.101085988047504,"DC","female","PA083_V1"
2.59838248573816,-0.155366943650263,1.10042576539213,"DC","female","PA084_V1"
-0.758906671031146,0.204875343714526,0.0499338195335123,"DC","male","PA085_V1"
-0.00806727106056377,0.111437303904995,0.329072512640669,"IFC","female","PA086_V1"
-1.7665548854807,-0.174198914414729,-0.104296591714651,"DA","male","PA087_V1"
3.83364900800265,1.75476641246833,-0.237269827850119,"DA","female","PA088_V1"
5.916493819262,0.617533939305323,-0.0116752813489102,"DA","male","PA089_V1"
-0.414264230984289,0.845848618523302,0.434344651079035,"PI","female","PA090_V1"
0.0410700508403327,1.07098273884852,0.181949494327692,"PI","female","PA091_V1"
-0.816421991401219,0.725618323625994,0.0274925823213092,"DA","male","PA092_V1"
-2.21814131004863,-0.979781882732962,-0.288870337512738,"C","female","PA094_V1"
-2.2170380996816,-0.883763007854656,-0.264748067342823,"C","female","PA095_V1"
-1.16367643498288,-1.63334704834548,-0.0894747626662461,"C","female","PA096_V1"
1.02694484835746,-0.729244474141775,1.01418714785477,"DC","male","PA097_V1"
-2.21966937585841,-0.950873872128469,-0.290603011758565,"C","male","PA099_V1"
-1.77554729687845,-0.184790700823624,-0.117535242286648,"DA","male","PA101_V1"
-1.85698843247889,-1.35375777759327,-0.00556179509249252,"DC","male","PA103_V1"
1.18174134844315,0.285218480180416,-0.117337686030769,"DC","female","PA104_V1"
-0.704221833045687,0.803324704853103,0.0192871844360736,"DA","female","PA109_V1"
-1.04949236264612,-0.779538404980145,-0.325813973825046,"C","male","PA110_V1"
4.21561495231432,0.383430808548603,0.506786615128473,"DA","female","PA117_V1"
0.0813390185069773,0.76090585335755,0.320222975005386,"DA","male","PA118_V1"
1.3091747314845,0.633899491358219,-0.433741365915446,"DA","female","PA122_V1"
3.46618119985892,0.337666659690562,0.242251482723419,"DA","male","PA123_V1"
-1.39308745562804,0.652214525334936,0.0913715779875894,"PI","male","PA124_V1"
0.234525571104726,1.99424985003981,0.300382098077971,"PI","female","PA125_V1"
-2.22145389476429,-0.939461629807136,-0.260645898693838,"C","female","PA126_V1"
-1.01211007457133,0.97831594153921,0.220104130651749,"DA","female","PA127_V1"
-0.168794731930434,-0.691986530316887,-0.00230469167454484,"DA","male","PA128_V1"
-1.14035223333385,-0.132381195717885,-0.0820265125202805,"DC","male","PA129_V1"
-1.17098692284156,-1.44066257816421,-0.121319001418725,"C","male","PA130_V1"
-1.79882946711496,-0.661628844958646,-0.205147077870408,"C","female","PA132_V1"
-2.22432990095052,-0.903571562008199,-0.280181913878321,"C","male","PA133_V1"
-0.57417173636474,1.3133401295112,0.290248469264087,"PI","male","PA134_V1"
-2.21928345287526,-0.898916236527141,-0.293324975010475,"C","female","PA135_V1"
-1.13939578780423,-0.13259985693616,-0.0751346404975317,"DC","male","PA136_V1"
0.135823528309409,-0.408461020056508,0.0842552509541166,"DA","male","PA137_V1"
6.65406182969204,0.326415336017075,-3.01258585742741,"DA","female","PA138_V1"
6.30139570047806,-0.510403707817799,-2.90437666356138,"DA","male","PA139_V1"
-1.23823272251949,0.172923794861332,-0.0324811042516064,"IFC","male","PA140_V1"
-2.22271036267842,-0.906813374693136,-0.30152083227176,"C","male","PA141_V1"
-0.715203417964477,1.17081493651576,0.241268161393679,"PI","female","PA142_V1"
-1.00760943349601,1.01860659854436,0.219992680433564,"PI","female","PA143_V1"
2.84810245921905,1.74001032700107,-0.194862693786832,"DA","male","PA144_V1"
-1.00886778533579,1.05675142817573,0.197683145904342,"PI","male","PA146_V1"
-1.88916402754379,-0.290709775984858,-0.0991012482905932,"DC","female","PA148_V1"
-2.21256622539634,-0.897673448809344,-0.286457581170474,"C","female","PA149_V1"
-0.840468409680002,1.09329913578153,0.174204383137439,"PI","female","PA150_V1"
